SKU,Description,MSRP,BRONZE_Price,SILVER_Price,GOLD_Price,PLATINUM_Price
75300907,,72.0,53.5,48.5,43.0,43.0
75300912,,72.0,53.5,48.5,43.0,43.0
75300908,,72.0,53.5,48.5,43.0,43.0
75300909,,72.0,53.5,48.5,43.0,43.0
75300911,,72.0,53.5,48.5,43.0,43.0
75300903,,72.0,41.5,37.5,33.0,33.0
75300915,,72.0,41.5,37.5,33.0,33.0
75300902,,72.0,53.5,48.5,43.0,43.0
80235703,,140.0,,,,
80235704,,140.0,,,,
80235705,,140.0,,,,
80235706,,140.0,,,,
80235707,,140.0,,,,
81180505,,250.0,,,,
81180506,,250.0,,,,
81185505,,250.0,,,,
81185507,,250.0,,,,
81185508,,250.0,,,,
81185704,,250.0,,,,
81185705,,250.0,,,,
81185706,,250.0,,,,
81185707,,250.0,,,,
81181705,,250.0,,,,
81181706,,250.0,,,,
81181707,,250.0,,,,
81181708,,250.0,,,,
80080204,,69.0,51.5,46.5,41.5,41.5
80080205,,69.0,51.5,46.5,41.5,41.5
80225704,,230.0,,,,
80225705,,230.0,,,,
80225706,,230.0,,,,
80225707,,230.0,,,,
80221704,,230.0,,,,
80221705,,230.0,,,,
80221706,,230.0,,,,
799102040206,,3.0,49.0,44.5,39.5,39.5
81135704,,305.0,,,,
81135705,,305.0,,,,
81135706,,305.0,,,,
81135707,,305.0,,,,
81135708,,305.0,,,,
81135504,,305.0,,,,
81135505,,305.0,,,,
81135506,,305.0,,,,
81135507,,305.0,,,,
81135508,,305.0,,,,
81130504,,305.0,,,,
81130505,,305.0,,,,
81130506,,305.0,,,,
81131704,,305.0,,,,
81131705,,305.0,,,,
81131707,,305.0,,,,
81131706,,305.0,,,,
8024570406N05,,129.99,,,,
8024570506N05,,129.99,,,,
8024570606N05,,129.99,,,,
8024570706N05,,129.99,,,,
7992306N09,,32.0,22.5,20.5,18.0,18.0
7992306N95,,32.0,22.5,20.5,18.0,18.0
7992306N04,,32.0,22.5,20.5,18.0,18.0
7992206N09,,28.0,,,,
7992206N95,,28.0,,,,
7992206N04,,28.0,,,,
79923000,,30.0,,,,
799221N0706,,25.0,,,,
193004002102,,679.99,580.0,530.0,470.0,415.0
193004002302,,679.99,580.0,530.0,470.0,415.0
193004006206,,679.99,580.0,530.0,470.0,415.0
193004006106,,679.99,580.0,530.0,470.0,415.0
193004006306,,679.99,580.0,530.0,470.0,415.0
193005002202,,679.99,580.0,530.0,470.0,415.0
193005002102,,679.99,580.0,530.0,470.0,415.0
193005002302,,679.99,580.0,530.0,470.0,415.0
193005006206,,679.99,580.0,530.0,470.0,415.0
193005006106,,679.99,580.0,530.0,470.0,415.0
193005006306,,679.99,580.0,530.0,470.0,415.0
193006002202,,679.99,590.0,540.0,480.0,425.0
193006002102,,679.99,590.0,540.0,480.0,425.0
193006002302,,679.99,590.0,540.0,480.0,425.0
193006006206,,679.99,590.0,540.0,480.0,425.0
193006006106,,679.99,590.0,540.0,480.0,425.0
193006006306,,679.99,590.0,540.0,480.0,425.0
208800400699206,,499.99,,,,
208800400299302,,499.99,,,,
208800400299202,,499.99,,,,
2088004M0699306,,514.99,,,,
2088004M0699206,,514.99,,,,
208800500699306,,499.99,,,,
208800500699206,,499.99,,,,
208800500299302,,499.99,,,,
208800500299202,,499.99,,,,
2088005M0699306,,514.99,,,,
2088005M0699206,,514.99,,,,
208800600699306,,499.99,,,,
208800600699206,,499.99,,,,
208800600299302,,499.99,,,,
208800600299202,,499.99,,,,
2088006M0699306,,514.99,,,,
2088006M0699206,,514.99,,,,
193092002102,,464.99,390.0,352.5,315.0,280.0
193092002302,,464.99,390.0,352.5,315.0,280.0
193092006206,,464.99,390.0,352.5,315.0,280.0
193092006106,,464.99,390.0,352.5,315.0,280.0
193092006306,,464.99,390.0,352.5,315.0,280.0
193093002202,,464.99,390.0,352.5,315.0,280.0
193093002102,,464.99,390.0,352.5,315.0,280.0
193093002302,,464.99,390.0,352.5,315.0,280.0
193093006206,,464.99,390.0,352.5,315.0,280.0
193093006106,,464.99,390.0,352.5,315.0,280.0
193093006306,,464.99,390.0,352.5,315.0,280.0
193094002202,,464.99,390.0,352.5,315.0,280.0
193094002102,,464.99,390.0,352.5,315.0,280.0
193094002302,,464.99,390.0,352.5,315.0,280.0
193094006206,,464.99,390.0,352.5,315.0,280.0
193094006106,,464.99,390.0,352.5,315.0,280.0
193094006306,,464.99,390.0,352.5,315.0,280.0
193095002202,,464.99,390.0,352.5,315.0,280.0
193095002102,,464.99,390.0,352.5,315.0,280.0
193095002302,,464.99,390.0,352.5,315.0,280.0
193095006206,,464.99,390.0,352.5,315.0,280.0
193095006106,,464.99,390.0,352.5,315.0,280.0
193095006306,,464.99,390.0,352.5,315.0,280.0
193096002202,,464.99,400.0,362.5,325.0,290.0
193096002102,,464.99,400.0,362.5,325.0,290.0
193096002302,,464.99,400.0,362.5,325.0,290.0
193096006206,,464.99,400.0,362.5,325.0,290.0
193096006106,,464.99,400.0,362.5,325.0,290.0
193096006306,,464.99,400.0,362.5,325.0,290.0
209000300299102,,509.99,409.0,369.5,330.0,310.0
209000300299402,,509.99,409.0,369.5,330.0,310.0
209000300299202,,509.99,409.0,369.5,330.0,310.0
209000400299302,,509.99,409.0,369.5,330.0,310.0
209000400299102,,509.99,409.0,369.5,330.0,310.0
209000400299402,,509.99,409.0,369.5,330.0,310.0
209000400399202,,509.99,409.0,369.5,330.0,310.0
209000500299302,,509.99,409.0,369.5,330.0,310.0
209000500299102,,509.99,409.0,369.5,330.0,310.0
209000500299402,,509.99,409.0,369.5,330.0,310.0
209000500299202,,509.99,409.0,369.5,330.0,310.0
209000600299302,,509.99,421.0,381.5,342.0,322.0
209000600299102,,509.99,421.0,381.5,342.0,322.0
209000600299402,,509.99,421.0,381.5,342.0,322.0
209000600299202,,509.99,421.0,381.5,342.0,322.0
209000300699306,,509.99,409.0,369.5,330.0,310.0
209000300699106,,509.99,409.0,369.5,330.0,310.0
209000300699406,,509.99,409.0,369.5,330.0,310.0
209000300699206,,509.99,409.0,369.5,330.0,310.0
209000400699306,,509.99,409.0,369.5,330.0,310.0
209000400699106,,509.99,409.0,369.5,330.0,310.0
209000400699406,,509.99,409.0,369.5,330.0,310.0
209000400699206,,509.99,409.0,369.5,330.0,310.0
209000500699306,,509.99,409.0,369.5,330.0,310.0
209000500699106,,509.99,409.0,369.5,330.0,310.0
209000500699406,,509.99,409.0,369.5,330.0,310.0
209000500699206,,509.99,409.0,369.5,330.0,310.0
209000600699306,,509.99,421.0,381.5,342.0,322.0
209000600699106,,509.99,421.0,381.5,342.0,322.0
209000600699406,,509.99,421.0,381.5,342.0,322.0
209000600699206,,509.99,421.0,381.5,342.0,322.0
74300918,,39.0,,,,
74300914,,39.0,,,,
74300904,,39.0,,,,
74300901,,39.0,,,,
74300907,,39.0,,,,
74300912,,39.0,,,,
74300908,,39.0,,,,
74300909,,39.0,,,,
74300911,,39.0,,,,
74300903,,39.0,,,,
74300915,,39.0,,,,
74300902,,39.0,,,,
74300218,,39.0,,,,
74300214,,39.0,,,,
74300204,,39.0,,,,
74300201,,39.0,,,,
74300207,,39.0,,,,
74300212,,39.0,,,,
74300208,,39.0,,,,
74300209,,39.0,,,,
74300211,,39.0,,,,
74300203,,39.0,,,,
74300215,,39.0,,,,
74300202,,39.0,,,,
23301818,,85.0,65.5,60.0,54.5,54.5
23301814,,85.0,65.5,60.0,54.5,54.5
23301804,,85.0,65.5,60.0,54.5,54.5
23301801,,85.0,65.5,60.0,54.5,54.5
23301807,,85.0,65.5,60.0,54.5,54.5
23301812,,85.0,65.5,60.0,54.5,54.5
23301808,,85.0,65.5,60.0,54.5,54.5
23301809,,85.0,65.5,60.0,54.5,54.5
23301811,,85.0,65.5,60.0,54.5,54.5
23301803,,85.0,65.5,60.0,54.5,54.5
23301815,,85.0,65.5,60.0,54.5,54.5
23301802,,85.0,65.5,60.0,54.5,54.5
24301906,,215.0,157.0,142.0,128.0,128.0
24301918,,215.0,157.0,142.0,128.0,128.0
24301914,,215.0,157.0,142.0,128.0,128.0
24301904,,215.0,157.0,142.0,128.0,128.0
24301901,,215.0,157.0,142.0,128.0,128.0
24301907,,215.0,157.0,142.0,128.0,128.0
24301912,,215.0,157.0,142.0,128.0,128.0
24301908,,215.0,157.0,142.0,128.0,128.0
24301909,,215.0,157.0,142.0,128.0,128.0
24301911,,215.0,157.0,142.0,128.0,128.0
24301903,,215.0,157.0,142.0,128.0,128.0
24301915,,215.0,157.0,142.0,128.0,128.0
24301902,,215.0,157.0,142.0,128.0,128.0
1911318,,140.0,97.5,89.0,80.5,80.5
1911314,,140.0,97.5,89.0,80.5,80.5
1911304,,140.0,97.5,89.0,80.5,80.5
1911301,,140.0,97.5,89.0,80.5,80.5
1911307,,140.0,97.5,89.0,80.5,80.5
1911312,,140.0,97.5,89.0,80.5,80.5
1911308,,140.0,97.5,89.0,80.5,80.5
1911309,,140.0,97.5,89.0,80.5,80.5
1911311,,140.0,97.5,89.0,80.5,80.5
1911303,,140.0,97.5,89.0,80.5,80.5
1911315,,140.0,97.5,89.0,80.5,80.5
1911302,,140.0,97.5,89.0,80.5,80.5
1907706,,265.0,177.5,161.0,145.0,145.0
1907718,,265.0,177.5,161.0,145.0,145.0
1907714,,265.0,177.5,161.0,145.0,145.0
1907704,,265.0,177.5,161.0,145.0,145.0
1907701,,265.0,177.5,161.0,145.0,145.0
1907707,,265.0,177.5,161.0,145.0,145.0
1907712,,265.0,177.5,161.0,145.0,145.0
1907708,,265.0,177.5,161.0,145.0,145.0
1907709,,265.0,177.5,161.0,145.0,145.0
1907711,,265.0,177.5,161.0,145.0,145.0
1907703,,265.0,177.5,161.0,145.0,145.0
1907715,,265.0,177.5,161.0,145.0,145.0
1907702,,265.0,177.5,161.0,145.0,145.0
23302518,,85.0,65.5,60.0,54.5,54.5
23302514,,85.0,65.5,60.0,54.5,54.5
23302504,,85.0,65.5,60.0,54.5,54.5
23302501,,85.0,65.5,60.0,54.5,54.5
23302507,,85.0,65.5,60.0,54.5,54.5
23302512,,85.0,65.5,60.0,54.5,54.5
23302508,,85.0,65.5,60.0,54.5,54.5
23302509,,85.0,65.5,60.0,54.5,54.5
23302511,,85.0,65.5,60.0,54.5,54.5
23302503,,85.0,65.5,60.0,54.5,54.5
23302515,,85.0,65.5,60.0,54.5,54.5
23302502,,85.0,65.5,60.0,54.5,54.5
24302606,,215.0,157.0,142.0,128.0,128.0
24302618,,215.0,157.0,142.0,128.0,128.0
24302614,,215.0,157.0,142.0,128.0,128.0
24302604,,215.0,157.0,142.0,128.0,128.0
24302601,,215.0,157.0,142.0,128.0,128.0
24302607,,215.0,157.0,142.0,128.0,128.0
24302612,,215.0,157.0,142.0,128.0,128.0
24302608,,215.0,157.0,142.0,128.0,128.0
24302609,,215.0,157.0,142.0,128.0,128.0
24302611,,215.0,157.0,142.0,128.0,128.0
24302603,,215.0,157.0,142.0,128.0,128.0
24302615,,215.0,157.0,142.0,128.0,128.0
24302602,,215.0,157.0,142.0,128.0,128.0
23302018,,85.0,65.5,60.0,54.5,54.5
23302014,,85.0,65.5,60.0,54.5,54.5
23302004,,85.0,65.5,60.0,54.5,54.5
23302001,,85.0,65.5,60.0,54.5,54.5
23302007,,85.0,65.5,60.0,54.5,54.5
23302012,,85.0,65.5,60.0,54.5,54.5
23302008,,85.0,65.5,60.0,54.5,54.5
23302009,,85.0,65.5,60.0,54.5,54.5
23302011,,85.0,65.5,60.0,54.5,54.5
23302003,,85.0,65.5,60.0,54.5,54.5
23302015,,85.0,65.5,60.0,54.5,54.5
23302002,,85.0,65.5,60.0,54.5,54.5
24302106,,215.0,157.0,142.0,128.0,128.0
24302118,,215.0,157.0,142.0,128.0,128.0
24302114,,215.0,157.0,142.0,128.0,128.0
24302104,,215.0,157.0,142.0,128.0,128.0
24302101,,215.0,157.0,142.0,128.0,128.0
24302107,,215.0,157.0,142.0,128.0,128.0
24302112,,215.0,157.0,142.0,128.0,128.0
24302108,,215.0,157.0,142.0,128.0,128.0
24302109,,215.0,157.0,142.0,128.0,128.0
24302111,,215.0,157.0,142.0,128.0,128.0
24302103,,215.0,157.0,142.0,128.0,128.0
24302115,,215.0,157.0,142.0,128.0,128.0
24302102,,215.0,157.0,142.0,128.0,128.0
2.05801E+12,,209.99,,,,
8433430201,,0.0,,,,
8433440601,,0.0,,,,
8433440201,,0.0,,,,
8433450601,,0.0,,,,
8433450201,,0.0,,,,
8433460601,,0.0,,,,
8433460201,,0.0,,,,
8433470601,,0.0,,,,
8433470201,,0.0,,,,
8433320201,,0.0,,,,
8433330601,,0.0,,,,
8433330201,,0.0,,,,
8433340601,,0.0,,,,
8433340201,,0.0,,,,
8433350601,,0.0,,,,
8433350201,,0.0,,,,
144003992,,0.0,,,,
144004092,,0.0,,,,
144004192,,0.0,,,,
144004292,,0.0,,,,
144005592,,0.0,,,,
144005692,,0.0,,,,
144005792,,0.0,,,,
144005892,,0.0,,,,
7754060090,,20.0,,,,
7754020090,,20.0,,,,
19128,,0.0,20.0,18.0,16.0,16.0
19304E4002102,,949.99,725.0,667.5,600.0,545.0
19304E5006106,,949.99,725.0,667.5,600.0,545.0
19304E5002102,,949.99,725.0,667.5,600.0,545.0
19304E6006106,,949.99,735.0,677.5,610.0,555.0
19304E6002102,,949.99,735.0,677.5,610.0,555.0
80150104,,239.99,199.0,180.0,165.0,150.0
80150105,,239.99,199.0,180.0,165.0,150.0
80150106,,239.99,199.0,180.0,165.0,150.0
80160104,,239.99,199.0,180.0,165.0,150.0
80160105,,239.99,199.0,180.0,165.0,150.0
80160106,,239.99,199.0,180.0,165.0,150.0
80160107,,239.99,199.0,180.0,165.0,150.0
80170108,,239.99,199.0,180.0,165.0,150.0
80150204,,95.0,220.0,198.0,176.0,160.0
80150205,,95.0,220.0,198.0,176.0,160.0
80170206,,269.99,,,,
80170207,,269.99,,,,
80160304,,319.99,,,,
80160305,,319.99,,,,
80160306,,319.99,,,,
80160307,,319.99,,,,
80120004,,40.0,60.0,54.5,49.5,45.0
80120005,,40.0,60.0,54.5,49.5,45.0
80120006,,40.0,60.0,54.5,49.5,45.0
80120503,,109.99,92.5,84.0,77.0,70.0
80120504,,109.99,92.5,84.0,77.0,70.0
80120505,,109.99,92.5,84.0,77.0,70.0
80120506,,109.99,92.5,84.0,77.0,70.0
2058001002,,119.0,,,,
2058001003,,119.0,,,,
2058001006,,119.0,,,,
2058001011,,119.0,,,,
2058001275,,151.0,,,,
2058001007,,119.0,,,,
2058001004,,119.0,,,,
2058001014,,119.0,,,,
2058001009,,119.0,,,,
2058001008,,119.0,,,,
2058001018,,119.0,,,,
2058001228,,151.0,,,,
2058001015,,119.0,,,,
2058004012,,119.0,,,,
2058004002,,119.0,,,,
2058004003,,119.0,,,,
2058004006,,119.0,,,,
2058004011,,119.0,,,,
2058004275,,151.0,,,,
2058004007,,119.0,,,,
2058004004,,119.0,,,,
2058004014,,119.0,,,,
2058004009,,119.0,,,,
2058004008,,119.0,,,,
2058004018,,119.0,,,,
2058004228,,151.0,,,,
2058004015,,119.0,,,,
2058003012,,119.0,,,,
2058003002,,119.0,,,,
2058003003,,119.0,,,,
2058003006,,119.0,,,,
2058003011,,119.0,,,,
2058003275,,151.0,,,,
2058003007,,119.0,,,,
2058003004,,119.0,,,,
2058003014,,119.0,,,,
2058003009,,119.0,,,,
2058003008,,119.0,,,,
2058003018,,119.0,,,,
2058003228,,151.0,,,,
2058003015,,119.0,,,,
2058002012,,119.0,,,,
2058002002,,119.0,,,,
2058002003,,119.0,,,,
2058002006,,119.0,,,,
2058002011,,119.0,,,,
2058002275,,151.0,,,,
2058002007,,119.0,,,,
2058002004,,119.0,,,,
2058002014,,119.0,,,,
2058002009,,119.0,,,,
2058002008,,119.0,,,,
2058002018,,119.0,,,,
2058002228,,151.0,,,,
2058002015,,119.0,,,,
2058005012,,119.0,,,,
2058005002,,119.0,,,,
2058005003,,119.0,,,,
2058005006,,119.0,,,,
2058005011,,119.0,,,,
2058005275,,151.0,,,,
2058005007,,119.0,,,,
2058005004,,119.0,,,,
2058005014,,119.0,,,,
2058005009,,119.0,,,,
2058005008,,119.0,,,,
2058005018,,119.0,,,,
2058005228,,151.0,,,,
2058005015,,119.0,,,,
2058006012,,119.0,,,,
2058006002,,119.0,,,,
2058006003,,119.0,,,,
2058006006,,119.0,,,,
2058006011,,119.0,,,,
2058006275,,151.0,,,,
2058006007,,119.0,,,,
2058006004,,119.0,,,,
2058006014,,119.0,,,,
2058006009,,119.0,,,,
2058006008,,119.0,,,,
2058006018,,119.0,,,,
2058006228,,151.0,,,,
2058006015,,119.0,,,,
2087003018,,277.99,,,,
2087003014,,277.99,,,,
2087003004,,277.99,,,,
2087003007,,277.99,,,,
2087003012,,277.99,,,,
2087003008,,277.99,,,,
2087003009,,277.99,,,,
2087003011,,277.99,,,,
2087003003,,277.99,,,,
2087003015,,277.99,,,,
2087003002,,277.99,,,,
2087003275,,309.99,,,,
2087003228,,309.99,,,,
2087004006,,277.99,,,,
2087004018,,277.99,,,,
2087004014,,277.99,,,,
2087004004,,277.99,,,,
2087004007,,277.99,,,,
2087004012,,277.99,,,,
2087004008,,277.99,,,,
2087004009,,277.99,,,,
2087004011,,277.99,,,,
2087004003,,277.99,,,,
2087004015,,277.99,,,,
2087004002,,277.99,,,,
2087004275,,309.99,,,,
2087004228,,309.99,,,,
2087005006,,277.99,,,,
2087005018,,277.99,,,,
2087005014,,277.99,,,,
2087005004,,277.99,,,,
2087005007,,277.99,,,,
2087005012,,277.99,,,,
2087005008,,277.99,,,,
2087005009,,277.99,,,,
2087005011,,277.99,,,,
2087005003,,277.99,,,,
2087005015,,277.99,,,,
2087005002,,277.99,,,,
2087005275,,309.99,,,,
2087005228,,309.99,,,,
2087006006,,277.99,,,,
2087006018,,277.99,,,,
2087006014,,277.99,,,,
2087006004,,277.99,,,,
2087006007,,277.99,,,,
2087006012,,277.99,,,,
2087006008,,277.99,,,,
2087006009,,277.99,,,,
2087006011,,277.99,,,,
2087006003,,277.99,,,,
2087006015,,277.99,,,,
2087006002,,277.99,,,,
2087006275,,309.99,,,,
2087006228,,309.99,,,,
2058001M18,,151.0,,,,
2058001M14,,151.0,,,,
2058001M04,,151.0,,,,
2058001M07,,151.0,,,,
2058001M12,,151.0,,,,
2058001M08,,151.0,,,,
2058001M09,,151.0,,,,
2058001M11,,151.0,,,,
2058001M03,,151.0,,,,
2058001M15,,151.0,,,,
2058001M02,,151.0,,,,
2058002M06,,151.0,,,,
2058002M18,,151.0,,,,
2058002M14,,151.0,,,,
2058002M04,,151.0,,,,
2058002M07,,151.0,,,,
2058002M12,,151.0,,,,
2058002M08,,151.0,,,,
2058002M09,,151.0,,,,
2058002M11,,151.0,,,,
2058002M03,,151.0,,,,
2058002M15,,151.0,,,,
2058002M02,,151.0,,,,
2058003M06,,151.0,,,,
2058003M18,,151.0,,,,
2058003M14,,151.0,,,,
2058003M04,,151.0,,,,
2058003M07,,151.0,,,,
2058003M12,,151.0,,,,
2058003M08,,151.0,,,,
2058003M09,,151.0,,,,
2058003M11,,151.0,,,,
2058003M03,,151.0,,,,
2058003M15,,151.0,,,,
2058003M02,,151.0,,,,
2058004M06,,151.0,,,,
2058004M18,,151.0,,,,
2058004M14,,151.0,,,,
2058004M04,,151.0,,,,
2058004M07,,151.0,,,,
2058004M12,,151.0,,,,
2058004M08,,151.0,,,,
2058004M09,,151.0,,,,
2058004M11,,151.0,,,,
2058004M03,,151.0,,,,
2058004M15,,151.0,,,,
2058004M02,,151.0,,,,
2058005M06,,151.0,,,,
2058005M18,,151.0,,,,
2058005M14,,151.0,,,,
2058005M04,,151.0,,,,
2058005M07,,151.0,,,,
2058005M12,,151.0,,,,
2058005M08,,151.0,,,,
2058005M09,,151.0,,,,
2058005M11,,151.0,,,,
2058005M03,,151.0,,,,
2058005M15,,151.0,,,,
2058005M02,,151.0,,,,
2058006M06,,151.0,,,,
2058006M18,,151.0,,,,
2058006M14,,151.0,,,,
2058006M04,,151.0,,,,
2058006M07,,151.0,,,,
2058006M12,,151.0,,,,
2058006M08,,151.0,,,,
2058006M09,,151.0,,,,
2058006M11,,151.0,,,,
2058006M03,,151.0,,,,
2058006M15,,151.0,,,,
2058006M02,,151.0,,,,
2087005M06,,120.0,259.0,235.5,213.0,189.0
6312081290006,,159.99,83.99,83.99,83.99,76.99
6312081300006,,159.99,83.99,83.99,83.99,76.99
6312091290006,,139.99,83.99,83.99,83.99,76.99
6312091300006,,139.99,83.99,83.99,83.99,76.99
6214051320606,,139.99,83.99,83.99,83.99,76.99
62140513250606,,139.99,83.99,83.99,83.99,76.99
6214051330606,,139.99,83.99,83.99,83.99,76.99
62140513350606,,139.99,83.99,83.99,83.99,76.99
6214051340606,,139.99,83.99,83.99,83.99,76.99
62140213236M06,,199.99,114.0,114.0,114.0,104.5
621402132536M06,,199.99,114.0,114.0,114.0,104.5
62140213336M06,,199.99,114.0,114.0,114.0,104.5
621402133356M06,,199.99,114.0,114.0,114.0,104.5
62140213436M06,,199.99,114.0,114.0,114.0,104.5
6214031323600,,219.99,114.0,114.0,114.0,104.5
62140313253600,,219.99,114.0,114.0,114.0,104.5
6214031333600,,219.99,114.0,114.0,114.0,104.5
62140313353600,,219.99,114.0,114.0,114.0,104.5
6214031343600,,219.99,114.0,114.0,114.0,104.5
62140113236M06,,229.99,114.0,114.0,114.0,104.5
621401132536M06,,229.99,114.0,114.0,114.0,104.5
62140113336M06,,229.99,114.0,114.0,114.0,104.5
621401133356M06,,229.99,114.0,114.0,114.0,104.5
62140113436M06,,229.99,114.0,114.0,114.0,104.5
6141051320600,,139.99,83.99,83.99,83.99,76.99
61410513250600,,139.99,83.99,83.99,83.99,76.99
6141051330600,,139.99,83.99,83.99,83.99,76.99
61410513350600,,139.99,83.99,83.99,83.99,76.99
6141051340600,,139.99,83.99,83.99,83.99,76.99
6141041320600,,189.99,114.0,114.0,114.0,104.5
61410413250600,,189.99,114.0,114.0,114.0,104.5
6141041330600,,189.99,114.0,114.0,114.0,104.5
61410413350600,,189.99,114.0,114.0,114.0,104.5
6141041340600,,189.99,114.0,114.0,114.0,104.5
61410213206M06,,199.99,114.0,114.0,114.0,104.5
61410213306M06,,199.99,114.0,114.0,114.0,104.5
61410213406M06,,199.99,114.0,114.0,114.0,104.5
614102132506M06,,199.99,114.0,114.0,114.0,104.5
614102133506M06,,199.99,114.0,114.0,114.0,104.5
6141031320600,,219.99,114.0,114.0,114.0,104.5
61410313250600,,219.99,114.0,114.0,114.0,104.5
6141031330600,,219.99,114.0,114.0,114.0,104.5
61410313350600,,219.99,114.0,114.0,114.0,104.5
6141031340600,,219.99,114.0,114.0,114.0,104.5
61410113206M06,,229.99,114.0,114.0,114.0,104.5
614101132506M06,,229.99,114.0,114.0,114.0,104.5
61410113306M06,,229.99,114.0,114.0,114.0,104.5
614101133506M06,,229.99,114.0,114.0,114.0,104.5
61410113406M06,,229.99,114.0,114.0,114.0,104.5
6243051320006,,139.99,83.99,83.99,83.99,76.99
62430513250006,,139.99,83.99,83.99,83.99,76.99
6243051330006,,139.99,83.99,83.99,83.99,76.99
62430513350006,,139.99,83.99,83.99,83.99,76.99
6243051340006,,139.99,83.99,83.99,83.99,76.99
6243041320006,,189.99,114.0,114.0,114.0,104.5
62430413250006,,189.99,114.0,114.0,114.0,104.5
6243041330006,,189.99,114.0,114.0,114.0,104.5
62430413350006,,189.99,114.0,114.0,114.0,104.5
6243041340006,,189.99,114.0,114.0,114.0,104.5
6243031320006,,219.99,114.0,114.0,114.0,104.5
62430313250006,,219.99,114.0,114.0,114.0,104.5
6243031330006,,219.99,114.0,114.0,114.0,104.5
62430313350006,,219.99,114.0,114.0,114.0,104.5
6243031340006,,219.99,114.0,114.0,114.0,104.5
62430113200M06,,229.99,114.0,114.0,114.0,104.5
624301132500M06,,229.99,114.0,114.0,114.0,104.5
62430113300M06,,229.99,114.0,114.0,114.0,104.5
624301133500M06,,229.99,114.0,114.0,114.0,104.5
62430113400M06,,229.99,114.0,114.0,114.0,104.5
62430213200M06,,199.99,114.0,114.0,114.0,104.5
624302132500M06,,199.99,114.0,114.0,114.0,104.5
62430213300M06,,199.99,114.0,114.0,114.0,104.5
624302133500M06,,199.99,114.0,114.0,114.0,104.5
62430213400M06,,199.99,114.0,114.0,114.0,104.5
6271051320606,,139.99,83.99,83.99,83.99,76.99
62710513250606,,139.99,83.99,83.99,83.99,76.99
6271051330606,,139.99,83.99,83.99,83.99,76.99
62710513350606,,139.99,83.99,83.99,83.99,76.99
6271051340606,,139.99,83.99,83.99,83.99,76.99
6271031320606,,219.99,114.0,114.0,114.0,104.5
62710313250606,,219.99,114.0,114.0,114.0,104.5
6271031330606,,219.99,114.0,114.0,114.0,104.5
62710313350606,,219.99,114.0,114.0,114.0,104.5
6271031340606,,219.99,114.0,114.0,114.0,104.5
6271041320606,,189.99,114.0,114.0,114.0,104.5
62710413250606,,189.99,114.0,114.0,114.0,104.5
6271041330606,,189.99,114.0,114.0,114.0,104.5
62710413350606,,189.99,114.0,114.0,114.0,104.5
6271041340606,,189.99,114.0,114.0,114.0,104.5
62710213206M06,,199.99,114.0,114.0,114.0,104.5
627102132506M06,,199.99,114.0,114.0,114.0,104.5
62710213306M06,,199.99,114.0,114.0,114.0,104.5
627102133506M06,,199.99,114.0,114.0,114.0,104.5
62710213406M06,,199.99,114.0,114.0,114.0,104.5
6134051320006,,139.99,83.99,83.99,83.99,76.99
61340513250006,,139.99,83.99,83.99,83.99,76.99
6134051330006,,139.99,83.99,83.99,83.99,76.99
61340513350006,,139.99,83.99,83.99,83.99,76.99
6134051340006,,139.99,83.99,83.99,83.99,76.99
6134041320926,,189.99,114.0,114.0,114.0,104.5
61340413250926,,189.99,114.0,114.0,114.0,104.5
6134041330926,,189.99,114.0,114.0,114.0,104.5
61340413350926,,189.99,114.0,114.0,114.0,104.5
6134041340926,,189.99,114.0,114.0,114.0,104.5
61340213209M06,,199.99,114.0,114.0,114.0,104.5
613402132509M06,,199.99,114.0,114.0,114.0,104.5
61340213309M06,,199.99,114.0,114.0,114.0,104.5
613402133509M06,,199.99,114.0,114.0,114.0,104.5
61340213409M06,,199.99,114.0,114.0,114.0,104.5
61340113209M06,,229.99,114.0,114.0,114.0,104.5
613401132509M06,,229.99,114.0,114.0,114.0,104.5
61340113309M06,,229.99,114.0,114.0,114.0,104.5
613401133509M06,,229.99,114.0,114.0,114.0,104.5
61340113409M06,,229.99,114.0,114.0,114.0,104.5
6134031320926,,219.99,114.0,114.0,114.0,104.5
61340313250926,,219.99,114.0,114.0,114.0,104.5
6134031330926,,219.99,114.0,114.0,114.0,104.5
61340313350926,,219.99,114.0,114.0,114.0,104.5
6134031340926,,219.99,114.0,114.0,114.0,104.5
6211051320600,,139.99,83.99,83.99,83.99,76.99
62110513250600,,139.99,83.99,83.99,83.99,76.99
6211051330600,,139.99,83.99,83.99,83.99,76.99
62110513350600,,139.99,83.99,83.99,83.99,76.99
6211051340600,,139.99,83.99,83.99,83.99,76.99
6211041320102,,189.99,114.0,114.0,114.0,104.5
62110413250102,,189.99,114.0,114.0,114.0,104.5
6211041330102,,189.99,114.0,114.0,114.0,104.5
62110413350102,,189.99,114.0,114.0,114.0,104.5
6211041340102,,189.99,114.0,114.0,114.0,104.5
62110213201M06,,199.99,114.0,114.0,114.0,104.5
621102132501M06,,199.99,114.0,114.0,114.0,104.5
62110213301M06,,199.99,114.0,114.0,114.0,104.5
621102133501M06,,199.99,114.0,114.0,114.0,104.5
62110213401M06,,199.99,114.0,114.0,114.0,104.5
62110113201M06,,229.99,114.0,114.0,114.0,104.5
621101132501M06,,229.99,114.0,114.0,114.0,104.5
